Código do Município ;Município ;Estado ;Região ;Ano de Referência ;Código do Prestador ;Prestador ;Sigla do Prestador ;Abrangência ;Tipo de serviço ;Natureza jurídica ;AG001 - População total atendida com abastecimento de água (Habitantes);ES001 - População total atendida com esgotamento sanitário (Habitantes)
230075;Amontada;CE;Nordeste    ;2015;23007511;Serviço Autônomo de Água e Esgoto;SAAE;Local;Água e Esgoto;Autarquia;17.112;1.050
230185;Banabuiú;CE;Nordeste    ;2015;23018511;Serviço Autônomo de Água e Esgoto;SAAE;Local;Água         ;Autarquia;9.052;
230240;Boa Viagem;CE;Nordeste    ;2015;23024011;Serviço Autônomo de Água e Esgoto;SAAE;Local;Água         ;Autarquia;38.987;
230240;Boa Viagem;CE;Nordeste    ;2015;23024012;Prefeitura Municipal de Boa Viagem;PMBV;Local;Esgoto       ;Administração pública direta;;18.225
230260;Camocim;CE;Nordeste    ;2015;23026011;Serviço Autônomo de Água e Esgoto;SAAE;Local;Água e Esgoto;Autarquia;62.473;17.808
230280;Canindé;CE;Nordeste    ;2015;23028011;Serviço Autônomo de Água e Esgoto de Canindé;SAAE;Local;Água e Esgoto;Autarquia;52.425;10.337
230320;Caririaçu;CE;Nordeste    ;2015;23032011;Serviço Autônomo de Água e Esgoto;SAMAE;Local;Água         ;Autarquia;15.373;
230395;Chorozinho;CE;Nordeste    ;2015;23039511;Prefeitura Municipal de Chorozinho;PMC;Local;Esgoto       ;Administração pública direta;;11.590
230400;Coreaú;CE;Nordeste    ;2015;23040011;Prefeitura Municipal de Coreaú;PMC;Local;Esgoto       ;Administração pública direta;;13.000
230420;Crato;CE;Nordeste    ;2015;23042011;Sociedade Anônima de Água e Esgoto do Crato;SAAEC;Local;Água e Esgoto;Sociedade de economia mista com administração pública;127.432;35.527
230426;Deputado Irapuan Pinheiro;CE;Nordeste    ;2015;23042611;Prefeitura Municipal de Deputado Irapuan Pinheiro;PMDIP;Local;Água         ;Autarquia;4.325;
230230;Bela Cruz;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8.951;4.651
230270;Campos Sales;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;12.668;2.578
230290;Capistrano;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.855;
230300;Caridade;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.849;
230310;Cariré;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;5.917;
230330;Cariús;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.403;
230340;Carnaubal;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;6.871;
230350;Cascavel;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;39.608;1.171
230360;Catarina;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8.509;2.046
230365;Catunda;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.939;
230370;Caucaia;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;240.953;104.674
230380;Cedro;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;12.298;881
230390;Chaval;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;7.438;
230393;Choró;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;2.892;
230395;Chorozinho;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;6.346;
230130;Araripe;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;8.760;
230150;Arneiroz;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;3.154;
230160;Assaré;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;10.143;
230170;Aurora;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;10.359;1.548
230180;Baixio;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;3.307;
230190;Barbalha;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;34.498;3.991
230195;Barreira;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;7.404;1.068
230200;Barro;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;11.332;1.273
230205;Barroquinha;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;7.508;1.104
230210;Baturité;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;21.592;684
230220;Beberibe;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8.570;3.280
231170;Reriutaba;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;7.131;
231180;Russas;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;39.333;10.687
231190;Saboeiro;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4.348;203
231195;Salitre;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;1.039;840
231200;Santana do Acaraú;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;12.013;
231210;Santana do Cariri;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.706;
231220;Santa Quitéria;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;18.574;
231230;São Benedito;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;19.937;6.329
231240;São Gonçalo do Amarante;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;15.927;5.987
231260;São Luís do Curu;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;6.644;
231270;Senador Pompeu;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;10.984;
231280;Senador Sá;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;3.527;
231290;Sobral;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;9.050;
231310;Tabuleiro do Norte;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;15.973;2.041
231320;Tamboril;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;9.719;
231325;Tarrafas;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;2.621;188
231330;Tauá;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;28.663;3.433
231335;Tejuçuoca;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.732;
231340;Tianguá;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;41.019;11.488
231350;Trairi;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8.199;1.249
231355;Tururu;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.620;
231360;Ubajara;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;13.026;
231370;Umari;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;2.451;
231375;Umirim;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;9.374;
231380;Uruburetama;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;12.312;
231390;Uruoca;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4.049;914
231395;Varjota;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;11.492;
231400;Várzea Alegre;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;21.501;
231410;Viçosa do Ceará;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;13.319;
230015;Acarapé;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;6.154;1.728
230020;Acaraú;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;20.061;2.523
230030;Acopiara;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;18.845;3.903
230050;Alcântaras;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;2.638;1.452
230060;Altaneira;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4.329;537
230070;Alto Santo;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;5.764;
230080;Antonina do Norte;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.532;
230090;Apuiarés;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;4.654;
230100;Aquiraz;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;26.004;13.120
230110;Aracati;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;36.102;9.694
230120;Aracoiaba;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;10.063;
230125;Ararendá;CE;Nordeste    ;2015;23044000;Companhia de Água e Esgoto do Ceará;CAGECE;Regional;Água         ;Sociedade de economia mista com administração pública;3.439;
