codigo_municipio;municipio;uf;ano;prestadores;servicos;populacao;agua;esgoto
230010;Abaiara;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;11357;3829;
230010;Abaiara;CE;2014;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23001040] Prefeitura Municipal de Abaiara - PMA";"Água; Res Sólidos";11226;3738;
230010;Abaiara;CE;2013;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23001040] Prefeitura Municipal de Abaiara - PMA";"Água; Res Sólidos";11089;3515;
230010;Abaiara;CE;2012;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;10815;3348;
230010;Abaiara;CE;2011;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;10659;3918;
230010;Abaiara;CE;2010;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;10496;2983;
230010;Abaiara;CE;2009;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;11077;2844;
230010;Abaiara;CE;2008;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;10835;2226;
230010;Abaiara;CE;2007;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;10227;2183;
230010;Abaiara;CE;2006;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8752;2411;
230010;Abaiara;CE;2005;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8696;;
230010;Abaiara;CE;2004;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8639;;
230010;Abaiara;CE;2003;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8538;;
230010;Abaiara;CE;2002;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8489;;
230010;Abaiara;CE;2001;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8441;;
230010;Abaiara;CE;2000;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;8385;;
230010;Abaiara;CE;1999;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;7217;;
230010;Abaiara;CE;1998;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;7302;;
230015;Acarapé;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;16288;6154;1728
230015;Acarapé;CE;2014;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23001540] Prefeitura Municipal de Acarape - PMA";"Água e Esgoto; Res Sólidos";16153;6111;2275
230015;Acarapé;CE;2013;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23001540] Prefeitura Municipal de Acarape - PMA";"Água e Esgoto; Res Sólidos";16011;6121;3215
230015;Acarapé;CE;2012;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;15673;6344;3215
230015;Acarapé;CE;2011;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;15509;7914;4604
230015;Acarapé;CE;2010;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;15338;7982;2508
230015;Acarapé;CE;2009;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;15627;6384;2809
230015;Acarapé;CE;2008;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;15388;7676;2657
230015;Acarapé;CE;2007;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;14658;5947;1730
230015;Acarapé;CE;2006;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;14949;6568;2000
230015;Acarapé;CE;2005;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;14641;9055;3137
230015;Acarapé;CE;2004;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;14331;8345;3272
230015;Acarapé;CE;2003;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;13770;;
230015;Acarapé;CE;2002;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;13503;;
230015;Acarapé;CE;2001;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;13256;;
230015;Acarapé;CE;2000;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;12927;;
230015;Acarapé;CE;1999;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;11380;;
230015;Acarapé;CE;1998;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;11249;;
230020;Acaraú;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;61210;20061;2523
230020;Acaraú;CE;2014;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;60684;20162;2407
230020;Acaraú;CE;2013;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;60137;20848;2195
230020;Acaraú;CE;2012;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23002040] ST LOCAÇÃO DE VEÍCULOS E SERVIÇOS LTDA - ST LOCAÇÃO";"Água e Esgoto; Res Sólidos";58848;19384;2195
230020;Acaraú;CE;2011;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;58210;22891;6118
230020;Acaraú;CE;2010;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;57551;17489;1878
230020;Acaraú;CE;2009;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;54753;16994;1880
230020;Acaraú;CE;2008;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;54257;16143;1568
230020;Acaraú;CE;2007;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;52123;15594;1674
230020;Acaraú;CE;2006;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;51528;21822;1467
230020;Acaraú;CE;2005;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;51138;16671;813
230020;Acaraú;CE;2004;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;50745;16957;754
230020;Acaraú;CE;2003;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;50035;16317;722
230020;Acaraú;CE;2002;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;49697;16388;832
230020;Acaraú;CE;2001;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;49448;17000;672
230020;Acaraú;CE;2000;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;48968;;
230020;Acaraú;CE;1999;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;45234;;
230020;Acaraú;CE;1998;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;45268;;
230030;Acopiara;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23003040] Secretaria da Infraestrutura - SEINFRA";"Água e Esgoto; Res Sólidos";53135;18845;3903
230030;Acopiara;CE;2014;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23003040] Secretaria da Infraestrutura - SEINFRA";"Água e Esgoto; Res Sólidos";52903;18812;3919
230030;Acopiara;CE;2013;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23003040] Secretaria da Infraestrutura - SEINFRA";"Água e Esgoto; Res Sólidos";52661;21825;4032
230030;Acopiara;CE;2012;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;51768;21234;4032
