Código do Município ;Município ;Estado ;Ano de Referência ;Prestadores ;Serviços ;POP_TOT - População total do município do ano de referência (Fonte: IBGE): (Habitantes);AG001 - População total atendida com abastecimento de água (Habitantes);ES001 - População total atendida com esgotamento sanitário (Habitantes)
230010;Abaiara;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;11.357;3.829;
230015;Acarapé;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;16.288;6.154;1.728
230020;Acaraú;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;61.210;20.061;2.523
230030;Acopiara;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23003040] Secretaria da Infraestrutura - SEINFRA";"Água e Esgoto; Res. Sólidos";53.135;18.845;3.903
230050;Alcântaras;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23005040] Prefeitura Municipal de Alcântaras - PMA";"Água e Esgoto; Res. Sólidos";11.321;2.638;1.452
230060;Altaneira;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;7.344;4.329;537
230070;Alto Santo;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;16.876;5.764;
230075;Amontada;CE;2015;"[23007511] Serviço Autônomo de Água e Esgoto - SAAE; [23007540] SECRETARIA DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS - SEINFRA";"Água e Esgoto; Res. Sólidos";42.098;17.112;1.050
230080;Antonina do Norte;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;7.227;4.532;
230090;Apuiarés;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23009040] PREFEITURA MUNICIPA DE APUIARES - PMA";"Água; Res. Sólidos";14.565;4.654;
230100;Aquiraz;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;77.717;26.004;13.120
230110;Aracati;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23011040] SECRETARIA DE INFRAESTRUTURA E URBANISMO - SEINFRA";"Água e Esgoto; Res. Sólidos";72.727;36.102;9.694
230120;Aracoiaba;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;26.134;10.063;
230125;Ararendá;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23012540] Prefeitura Municipal de Ararendá - PMA";"Água; Res. Sólidos";10.775;3.439;
230130;Araripe;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23013040] Prefeitura Municipal de Araripe - PMA";"Água; Res. Sólidos";21.289;8.760;
230140;Aratuba;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23014040] Prefeitura Municipal de Aratuba - PMA";"Água e Esgoto; Res. Sólidos";11.358;3.248;1.001
230150;Arneiroz;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;7.771;3.154;
230160;Assaré;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;23.126;10.143;
230170;Aurora;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23017040] PREFEITURTA MUNICIPAL DE AURORA CEARA - PMA";"Água e Esgoto; Res. Sólidos";24.602;10.359;1.548
230180;Baixio;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;6.198;3.307;
230185;Banabuiú;CE;2015;[23018511] Serviço Autônomo de Água e Esgoto - SAAE;Água;17.906;9.052;
230190;Barbalha;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;58.855;34.498;3.991
230195;Barreira;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23019540] Secretaria da Infraestrutura e Controle Urbano - SEINCO";"Água e Esgoto; Res. Sólidos";20.687;7.404;1.068
230200;Barro;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;22.279;11.332;1.273
230205;Barroquinha;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23020540] Secretaria Municipal de Infraestrutura e Serviços Públicos - SEINFRA";"Água e Esgoto; Res. Sólidos";14.828;7.508;1.104
230210;Baturité;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23021040] SECRETARIA DE INFRAESTRUTURA E URBANISMO - SEINFRA";"Água e Esgoto; Res. Sólidos";34.949;21.592;684
230220;Beberibe;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23022040] Prefeitura Municipal de Beberibe - PMB";"Água e Esgoto; Res. Sólidos";52.310;8.570;3.280
230230;Bela Cruz;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23023040] Secretaria de Infraestrutura - SEINFRA";"Água e Esgoto; Res. Sólidos";32.103;8.951;4.651
230240;Boa Viagem;CE;2015;"[23024011] Serviço Autônomo de Água e Esgoto - SAAE; [23024012] Prefeitura Municipal de Boa Viagem - PMBV; [23024040] Prefeitura Municipal - PMBV";"Água; Esgoto; Res. Sólidos";53.838;38.987;18.225
230260;Camocim;CE;2015;"[23026011] Serviço Autônomo de Água e Esgoto - SAAE; [23026040] SECRETARIA DE INFRAESTRUTURA - SEINFRA";"Água e Esgoto; Res. Sólidos";62.473;62.473;17.808
230270;Campos Sales;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;27.123;12.668;2.578
230280;Canindé;CE;2015;"[23028011] Serviço Autônomo de Água e Esgoto de Canindé - SAAE; [23028040] SECRETARIA DE INFRAESTRUTURA E DESENVOLVIMENTO URBANO - SEINFRA";"Água e Esgoto; Res. Sólidos";76.998;52.425;10.337
230290;Capistrano;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;17.573;4.855;
