FID;id;nome;uf;pib;estado_id;codigo_ibg;codigo_mun;ano;prestadore;servicos;populaca_1;agua;esgoto
0;2639;Fagundes;PB;48738;15;2506103;250610;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25061040] PREFEITURA MUNICIPAL DE FAGUNDES - PMF";"Água; Res. Sólidos";11,378000000000000;6,067000000000000;0,000000000000000
1;2640;Frei Martinho;PB;14291;15;2506202;250620;2015;"[25062011] Prefeitura Municipal de Frei Martinho - PMFM; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25062040] PREFEITURA MUNICIPAL DE FREI MARTINHO - PMFM";"Esgoto; Água; Res. Sólidos";2,986000000000000;2,144000000000000;2,984000000000000
2;2641;Gado Bravo;PB;35814;15;2506251;250625;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;8,449999999999999;0,000000000000000;0,000000000000000
3;2648;Ingá;PB;85951;15;2506806;250680;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;18,042000000000002;12,808000000000000;0,000000000000000
4;2649;Itabaiana;PB;132605;15;2506905;250690;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;24,565000000000001;18,119000000000000;0,000000000000000
5;2652;Itatuba;PB;58422;15;2507200;250720;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25072040] Prefeitura Municipal de Itatuba - PMI";"Água; Res. Sólidos";10,739000000000001;6,008000000000000;0,000000000000000
6;2834;Condado;PE;118233;16;2604601;250450;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;6,733000000000000;6,181000000000000;0,000000000000000
7;2654;Jericó;PB;35694;15;2507408;250740;2015;"[25074011] Prefeitura Municipal de Jericó - PMJ; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25074040] SECRETARIA MUNICIPAL DE SAUDE - SMS";"Esgoto; Água; Res. Sólidos";7,717000000000000;4,129000000000000;4,833000000000000
8;2597;Brejo dos Santos;PB;27650;15;2502904;250290;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;6,413000000000000;5,097000000000000;0,000000000000000
9;2675;Massaranduba;PB;55359;15;2509206;250920;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;13,654000000000000;4,230000000000000;0,000000000000000
10;2678;Mato Grosso;PB;12389;15;2509370;250937;2015;"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25093740] PREFEITURA MUNICIPAL DE MATO GROSSO - PMMG";"Água; Res. Sólidos";2,869000000000000;798,000000000000000;0,000000000000000
11;2873;Jataúba;PE;72428;16;2608008;260800;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água;16,858000000000001;2,592000000000000;0,000000000000000
12;2875;João Alfredo;PE;138728;16;2608107;260810;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água;32,939000000000000;19,835000000000001;0,000000000000000
13;2693;Parari;PB;9583;15;2510659;251065;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;1,795000000000000;924,000000000000000;0,000000000000000
14;2691;Olivedos;PB;17279;15;2510501;251050;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água;3,880000000000000;2,369000000000000;0,000000000000000
15;2792;Altinho;PE;93535;16;2600807;260080;2015;[26116000] Companhia Pernambucana de Saneamento - COMPESA;Água;22,876000000000001;18,190000000000001;0,000000000000000
16;2823;Canhotinho;PE;106260;16;2603702;260370;2015;"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26037040] Prefeitura Municipal de Canhotinho - PMC";"Água; Res. Sólidos";24,837000000000000;14,180999999999999;0,000000000000000
17;2683;Monteiro;PB;189702;15;2509701;250970;2015;[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA;Água e Esgoto;32,774000000000001;24,337000000000000;19,189000000000000
