codigo_municipio;municipio;uf;ano;prestadores;servicos;populacao;agua;esgoto
230010;Abaiara;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;11357;3829;
230015;Acarapé;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;16288;6154;1728
230020;Acaraú;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;61210;20061;2523
230030;Acopiara;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23003040] Secretaria da Infraestrutura - SEINFRA";"Água e Esgoto; Res Sólidos";53135;18845;3903
230050;Alcântaras;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23005040] Prefeitura Municipal de Alcântaras - PMA";"Água e Esgoto; Res Sólidos";11321;2638;1452
230060;Altaneira;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;7344;4329;537
230070;Alto Santo;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;16876;5764;
230075;Amontada;CE;2015;"[23007511] Serviço Autônomo de Água e Esgoto - SAAE; [23007540] SECRETARIA DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS - SEINFRA";"Água e Esgoto; Res Sólidos";42098;17112;1050
230080;Antonina do Norte;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;7227;4532;
230090;Apuiarés;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23009040] PREFEITURA MUNICIPA DE APUIARES - PMA";"Água; Res Sólidos";14565;4654;
230100;Aquiraz;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;77717;26004;13120
230110;Aracati;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23011040] SECRETARIA DE INFRAESTRUTURA E URBANISMO - SEINFRA";"Água e Esgoto; Res Sólidos";72727;36102;9694
230120;Aracoiaba;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;26134;10063;
230125;Ararendá;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23012540] Prefeitura Municipal de Ararendá - PMA";"Água; Res Sólidos";10775;3439;
230130;Araripe;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23013040] Prefeitura Municipal de Araripe - PMA";"Água; Res Sólidos";21289;8760;
230140;Aratuba;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23014040] Prefeitura Municipal de Aratuba - PMA";"Água e Esgoto; Res Sólidos";11358;3248;1001
230150;Arneiroz;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;7771;3154;
230160;Assaré;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;23126;10143;
230170;Aurora;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23017040] PREFEITURTA MUNICIPAL DE AURORA CEARA - PMA";"Água e Esgoto; Res Sólidos";24602;10359;1548
230180;Baixio;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;6198;3307;
230185;Banabuiú;CE;2015;[23018511] Serviço Autônomo de Água e Esgoto - SAAE;Água;17906;9052;
230190;Barbalha;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;58855;34498;3991
230195;Barreira;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23019540] Secretaria da Infraestrutura e Controle Urbano - SEINCO";"Água e Esgoto; Res Sólidos";20687;7404;1068
230200;Barro;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;22279;11332;1273
230205;Barroquinha;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23020540] Secretaria Municipal de Infraestrutura e Serviços Públicos - SEINFRA";"Água e Esgoto; Res Sólidos";14828;7508;1104
230210;Baturité;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23021040] SECRETARIA DE INFRAESTRUTURA E URBANISMO - SEINFRA";"Água e Esgoto; Res Sólidos";34949;21592;684
230220;Beberibe;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23022040] Prefeitura Municipal de Beberibe - PMB";"Água e Esgoto; Res Sólidos";52310;8570;3280
230230;Bela Cruz;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23023040] Secretaria de Infraestrutura - SEINFRA";"Água e Esgoto; Res Sólidos";32103;8951;4651
230240;Boa Viagem;CE;2015;"[23024011] Serviço Autônomo de Água e Esgoto - SAAE; [23024012] Prefeitura Municipal de Boa Viagem - PMBV; [23024040] Prefeitura Municipal - PMBV";"Água; Esgoto; Res Sólidos";53838;38987;18225
230260;Camocim;CE;2015;"[23026011] Serviço Autônomo de Água e Esgoto - SAAE; [23026040] SECRETARIA DE INFRAESTRUTURA - SEINFRA";"Água e Esgoto; Res Sólidos";62473;62473;17808
230270;Campos Sales;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água e Esgoto;27123;12668;2578
230280;Canindé;CE;2015;"[23028011] Serviço Autônomo de Água e Esgoto de Canindé - SAAE; [23028040] SECRETARIA DE INFRAESTRUTURA E DESENVOLVIMENTO URBANO - SEINFRA";"Água e Esgoto; Res Sólidos";76998;52425;10337
230290;Capistrano;CE;2015;[23044000] Companhia de Água e Esgoto do Ceará - CAGECE;Água;17573;4855;
230300;Caridade;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23030040] Prefeitura Municipal de Caridade - PMC";"Água; Res Sólidos";21800;4849;
230310;Cariré;CE;2015;"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23031040] PREFEITURA MUNICIPAL DE CARIRÉ - PMC";"Água; Res Sólidos";18645;5917;
