MUNICIPIO;UF
Araripina;PE
Cedro;PE
Arcoverde;PE
Itapetim;PE
Bodocó;PE
Carnaubeira da Penha;PE
Afogados da Ingazeira;PE
Manari;PE
Exu;PE
Mirandiba;PE
Betânia;PE
Quixaba;PE
Granito;PE
Salgueiro;PE
Brejinho;PE
Santa Cruz da Baixa Verde;PE
Ipubi;PE
São José do Belmonte;PE
Calumbi;PE
Santa Terezinha;PE
Moreilândia;PE
Serrita;PE
Carnaíba;PE
São José do Egito;PE
Ouricuri;PE
Terra Nova;PE
Custódia;PE
Serra Talhada;PE
Parnamirim;PE
Verdejante;PE
Flores;PE
Sertânia;PE
Trindade;PE
Floresta;PE
Solidão;PE
Ibimirim;PE
Tabira;PE
Açude Castanhão	Iguaraci;PE
Triunfo;PE
Abaiara;CE
Alto Santo;CE
Inajá;PE
Tuparetama;PE
Aurora;CE
Aquiraz;CE
Ingazeira;PE
Baixio;CE
Aracati;CE
Agreste Pernambucano
Barbalha;CE
Beberibe;CE
Agrestina;PE
Jupi;PE
Barro;CE
Cascavel;CE
Águas Belas;PE
Jurema;PE
Brejo Santo;CE
Caucaia;CE
Alagoinha;PE
Lagoa do Ouro;PE
Caririaçu;CE
Chorozinho;CE
Altinho;PE
Lagoa dos Gatos;PE
Cedro;CE
Eusébio;CE
Angelim;PE
Lajedo;PE
Crato;CE
Fortaleza;CE
Barra de Guabiraba;PE
Limoeiro;PE
Granjeiro;CE
Fortim;CE
Belo Jardim;PE
Machados;PE
Icó;CE
Guaiúba;CE
Bezerros;PE
Orobó;PE
Ipaumirim;CE
Horizonte;CE
Bom Conselho;PE
Palmeirina;PE
Jaguaribe;CE
Icapuí;CE
Bom Jardim;PE
Panelas;PE
Jardim;CE
Itaiçaba;CE
Bonito;PE
Paranatama;PE
Jati;CE
Itaitinga;CE
Brejão;PE
Passira;PE
Juazeiro do Norte;CE
Jaguaretama;CE
Brejo da Madre de Deus;PE
Pedra;PE
Lavras da Mangabeira;CE
Jaguaribara;CE
Buíque;PE
Pesqueira;PE
Mauriti;CE
Jaguaruana;CE
Cachoeirinha;PE
Poção;PE
Milagres;CE
Limoeiro do Norte;CE
Caetés;PE
Riacho das Almas;PE
Missão Velha;CE
Maracanaú;CE
Calçado;PE
Sairé;PE
Penaforte;CE
Maranguape;CE
Camocim de São Félix;PE
Salgadinho;PE
Porteiras;CE
Morada Nova;CE
Canhotinho;PE
Saloá;PE
Umari;CE
Ocara;CE
Capoeiras;PE
Sanharó;PE
Várzea Alegre;CE
Pacajus;CE
Caruaru;PE
Santa Cruz do Capibaribe;PE
Pacatuba;CE
Casinhas;PE
Santa Maria do Cambucá;PE
Palhano;CE
Correntes;PE
São Bento do Una;PE
Pindoretama;CE
Cumaru;PE
São Caitano;PE
Quixeré;CE
Cupira;PE
São João;PE
Russas;CE
Feira Nova;PE
São Joaquim do Monte;PE
São Gonçalo do Amarante;CE
Frei Miguelinho;PE
São Vicente Ferrer;PE
São João do Jaguaribe;CE
Garanhuns;PE
Surubim;PE
Tabuleiro do Norte;CE
Gravatá;PE
Tacaimbó;PE
PARAÍBA	Iati;PE
Taquaritinga do Norte;PE
Piranhas	Ibirajuba;PE
Terezinha;PE
Aparecida;PB
