id;nome;uf;populacao;pib;estado_id;codigo_ibg;OID_;MUNICIPIO;UF_1;MUNICIPI_1;UF_12
2639;Fagundes;PB;11405;48738;15;2506103;161;Aparecida;PB;Fagundes;PB
2640;Frei Martinho;PB;2933;14291;15;2506202;161;Aparecida;PB;Frei Martinho;PB
2641;Gado Bravo;PB;8376;35814;15;2506251;161;Aparecida;PB;Gado Bravo;PB
2648;Ing├í;PB;18180;85951;15;2506806;161;Aparecida;PB;Ing├í;PB
2649;Itabaiana;PB;24481;132605;15;2506905;161;Aparecida;PB;Itabaiana;PB
2652;Itatuba;PB;10201;58422;15;2507200;161;Aparecida;PB;Itatuba;PB
3773;Olho-d'├ügua do Borges;RN;4295;21282;20;2408409;274;├ügua Nova;RN;Olho-d'├ügua do Borges;RN
2834;Condado;PE;24282;118233;16;2604601;0;Araripina;PE;Condado;PB
2654;Jeric├│;PB;7538;35694;15;2507408;161;Aparecida;PB;Jeric├│;PB
2597;Brejo dos Santos;PB;6198;27650;15;2502904;161;Aparecida;PB;Brejo dos Santos;PB
2675;Massaranduba;PB;12902;55359;15;2509206;161;Aparecida;PB;Massaranduba;PB
2678;Mato Grosso;PB;2702;12389;15;2509370;161;Aparecida;PB;Mato Grosso;PB
2873;Jata├║ba;PE;15819;72428;16;2608008;0;Araripina;PE;Jata├║ba;PE
2875;Jo├úo Alfredo;PE;30743;138728;16;2608107;0;Araripina;PE;Jo├úo Alfredo;PE
2693;Parari;PB;1256;9583;15;2510659;161;Aparecida;PB;Parari;PB
2691;Olivedos;PB;3627;17279;15;2510501;161;Aparecida;PB;Olivedos;PB
2792;Altinho;PE;22353;93535;16;2600807;0;Araripina;PE;Altinho;PE
2823;Canhotinho;PE;24521;106260;16;2603702;0;Araripina;PE;Canhotinho;PE
2683;Monteiro;PB;30852;189702;15;2509701;161;Aparecida;PB;Monteiro;PB
2685;Natuba;PB;10566;47864;15;2509909;161;Aparecida;PB;Natuba;PB
2686;Nazarezinho;PB;7280;32073;15;2510006;161;Aparecida;PB;Nazarezinho;PB
2590;Boa Vista;PB;6227;89887;15;2502151;161;Aparecida;PB;Boa Vista;PB
2591;Bom Jesus;PB;2400;11185;15;2502201;161;Aparecida;PB;Bom Jesus;PB
2689;Nova Palmeira;PB;4361;21062;15;2510303;161;Aparecida;PB;Nova Palmeira;PB
2695;Patos;PB;100674;692747;15;2510808;161;Aparecida;PB;Patos;PB
2696;Paulista;PB;11788;59256;15;2510907;161;Aparecida;PB;Paulista;PB
2698;Pedra Lavrada;PB;7475;34256;15;2511103;161;Aparecida;PB;Pedra Lavrada;PB
2882;Lagoa do Ouro;PE;12132;54491;16;2608602;0;Araripina;PE;Lagoa do Ouro;PE
3719;Equador;RN;5822;37054;20;2403400;274;├ügua Nova;RN;Equador;RN
2824;Capoeiras;PE;19593;92597;16;2603801;0;Araripina;PE;Capoeiras;PE
2883;Lagoa dos Gatos;PE;15615;65618;16;2608701;0;Araripina;PE;Lagoa dos Gatos;PE
2825;Carna├¡ba;PE;18574;73444;16;2603900;0;Araripina;PE;Carna├¡ba;PE
2655;Jo├úo Pessoa;PB;723515;9805587;15;2507507;161;Aparecida;PB;Jo├úo Pessoa;PB
