FID;id;nome;uf;codigo_ibg;codigo_mun;ano;populacao;agua;esgoto
0;2639;Fagundes;PB;2506103;250610;2015;11378;6067;0
1;2640;Frei Martinho;PB;2506202;250620;2015;2986;2144;2984
2;2641;Gado Bravo;PB;2506251;250625;2015;8450;0;0
3;2648;Ingá;PB;2506806;250680;2015;18042;12808;0
4;2649;Itabaiana;PB;2506905;250690;2015;24565;18119;0
5;2652;Itatuba;PB;2507200;250720;2015;10739;6008;0
6;2834;Condado;PE;2604601;250450;2015;6733;6181;0
7;2654;Jericó;PB;2507408;250740;2015;7717;4129;4833
8;2597;Brejo dos Santos;PB;2502904;250290;2015;6413;5097;0
9;2675;Massaranduba;PB;2509206;250920;2015;13654;4230;0
10;2678;Mato Grosso;PB;2509370;250937;2015;2869;798;0
11;2873;Jataúba;PE;2608008;260800;2015;16858;2592;0
12;2875;João Alfredo;PE;2608107;260810;2015;32939;19835;0
13;2693;Parari;PB;2510659;251065;2015;1795;924;0
14;2691;Olivedos;PB;2510501;251050;2015;3880;2369;0
15;2792;Altinho;PE;2600807;260080;2015;22876;18190;0
16;2823;Canhotinho;PE;2603702;260370;2015;24837;14181;0
17;2683;Monteiro;PB;2509701;250970;2015;32774;24337;19189
18;2685;Natuba;PB;2509909;250990;2015;10450;3447;0
19;2686;Nazarezinho;PB;2510006;251000;2015;7318;0;0
20;2590;Boa Vista;PB;2502151;250215;2015;6884;4861;0
21;2591;Bom Jesus;PB;2502201;250220;2015;2532;1811;0
22;2689;Nova Palmeira;PB;2510303;251030;2015;4784;0;2556
23;2695;Patos;PB;2510808;251080;2015;106314;106314;7017
24;2696;Paulista;PB;2510907;251090;2015;12216;4678;0
25;2698;Pedra Lavrada;PB;2511103;251110;2015;7982;3709;2928
26;2882;Lagoa do Ouro;PE;2608602;260860;2015;12865;6852;0
27;3719;Equador;RN;2403400;240340;2015;6087;4707;0
28;2824;Capoeiras;PE;2603801;260380;2015;19997;7092;0
29;2883;Lagoa dos Gatos;PE;2608701;260870;2015;16161;9815;0
30;2825;Carnaíba;PE;2603900;260390;2015;19318;11972;0
31;2655;João Pessoa;PB;2507507;250750;2015;791438;791438;599226
32;3722;Felipe Guerra;RN;2403707;240370;2015;6013;3470;0
33;2826;Carnaubeira da Penha;PE;2603926;260392;2015;12603;3200;3200
34;2838;Cupira;PE;2605004;260500;2015;23841;23841;0
35;627;Alto Santo;CE;2300705;230070;2015;16876;5764;0
36;620;Abaiara;CE;2300101;230010;2015;11357;3829;0
37;2599;Cabaceiras;PB;2503100;250310;2015;5449;2463;0
38;2702;Picuí;PB;2511400;251140;2015;18670;13705;0
39;2703;Pilar;PB;2511509;251150;2015;11786;7847;0
40;3723;Fernando Pedroza;RN;2403756;240375;2015;3037;2635;0
41;690;Horizonte;CE;2305233;230523;2015;63365;43745;4352
42;2708;Pocinhos;PB;2512002;251200;2015;18272;0;0
43;3830;Serrinha dos Pintos;RN;2413557;241355;2015;4797;2540;0
44;2779;Umbuzeiro;PB;2517001;251700;2015;9889;1360;1000
45;2709;Poço Dantas;PB;2512036;251203;2015;3778;796;0
46;2710;Poço de José de Moura;PB;2512077;251207;2015;4245;3953;0
47;714;Jaguaruana;CE;2307007;230700;2015;33469;13642;0
48;2952;Taquaritinga do Norte;PE;2615003;261500;2015;27592;8630;23000
49;3755;Lajes;RN;2406700;240670;2015;11151;8840;6179
50;2842;Exu;PE;2605301;260530;2015;31928;18481;0
51;2953;Terezinha;PE;2615102;261510;2015;7057;3602;0
52;2853;Granito;PE;2606309;260630;2015;7308;3756;3368
53;2854;Gravatá;PE;2606408;260640;2015;81893;81893;1512
54;2962;Venturosa;PE;2616001;261600;2015;17870;8992;0
55;2711;Pombal;PB;2512101;251210;2015;32712;32051;17412
56;2712;Prata;PB;2512200;251220;2015;4109;2748;0
57;2714;Puxinanã;PB;2512408;251240;2015;13557;4947;0
58;2715;Queimadas;PB;2512507;251250;2015;43667;30488;638
59;2724;Salgadinho;PB;2513000;251300;2015;3871;1305;692
60;2682;Monte Horebe;PB;2509602;250960;2015;4759;3421;0
61;2725;Salgado de São Félix;PB;2513109;251310;2015;12144;4283;0
62;2727;Santa Cruz;PB;2513208;251320;2015;6579;4176;0
63;3840;Timbaúba dos Batistas;RN;2414308;241430;2015;2418;1821;0
64;2728;Santa Helena;PB;2513307;251330;2015;5917;3252;1700
65;3833;Taboleiro Grande;RN;2413805;241380;2015;2518;1804;0
66;2923;Saloá;PE;2612307;261230;2015;15742;5552;0
67;2730;Santa Luzia;PB;2513406;251340;2015;15278;14197;13991
68;2722;Riacho dos Cavalos;PB;2512804;251280;2015;8563;0;8538
69;2734;Santa Rita;PB;2513703;251370;2015;134940;118055;5101
70;2959;Triunfo;PE;2615706;251680;2015;9447;0;0
