"nome";"populacao";"agua";"esgoto";"ano";"codigo_mun";"taxa_esgoto";"taxa_agua"
"1";"Fagundes";11378;6067;NA;2015;250610;NA;0.533222007382668
"2";"Fagundes";11413;5924;NA;2014;250610;NA;0.519057215456059
"3";"Fagundes";11449;5574;NA;2013;250610;NA;0.486854747139488
"4";"Fagundes";11332;5371;NA;2012;250610;NA;0.473967525591246
"5";"Fagundes";11368;4985;NA;2011;250610;NA;0.438511611541168
"6";"Fagundes";11405;4781;NA;2010;250610;NA;0.419202104340202
"7";"Fagundes";12183;4887;NA;2009;250610;NA;0.401132725929574
"8";"Fagundes";12166;6597;NA;2008;250610;NA;0.542248890350156
"9";"Fagundes";11830;6504;NA;2007;250610;NA;0.549788672865596
"10";"Fagundes";10929;6396;NA;2006;250610;NA;0.585231951688169
"11";"Fagundes";11076;4723;NA;2005;250610;NA;0.426417479234381
"12";"Fagundes";11223;4844;NA;2004;250610;NA;0.431613650539072
"13";"Fagundes";11491;NA;NA;2003;250610;NA;NA
"14";"Fagundes";11618;NA;NA;2002;250610;NA;NA
"15";"Fagundes";11735;NA;NA;2001;250610;NA;NA
"16";"Fagundes";11892;NA;NA;2000;250610;NA;NA
"17";"Fagundes";12264;NA;NA;1999;250610;NA;NA
"18";"Fagundes";12377;NA;NA;1998;250610;NA;NA
"19";"Frei Martinho";2986;2144;2984;2015;250620;0.999330207635633;0.718017414601474
"20";"Frei Martinho";2984;2199;2984;2014;250620;1;0.736930294906166
"21";"Frei Martinho";2981;2156;2935;2013;250620;0.984568936598457;0.723247232472325
"22";"Frei Martinho";2935;2101;2935;2012;250620;1;0.715843270868824
"23";"Frei Martinho";2934;1808;NA;2011;250620;NA;0.616223585548739
"24";"Frei Martinho";2933;1875;NA;2010;250620;NA;0.63927719058984
"25";"Frei Martinho";3025;1795;NA;2009;250620;NA;0.593388429752066
"26";"Frei Martinho";3018;2259;NA;2008;250620;NA;0.748508946322068
"27";"Frei Martinho";2935;2242;NA;2007;250620;NA;0.763884156729131
"28";"Frei Martinho";3100;2200;NA;2006;250620;NA;0.709677419354839
"29";"Frei Martinho";3073;2137;NA;2005;250620;NA;0.695411649853563
"30";"Frei Martinho";3046;NA;NA;2004;250620;NA;NA
"31";"Frei Martinho";2997;NA;NA;2003;250620;NA;NA
"32";"Frei Martinho";2973;NA;NA;2002;250620;NA;NA
"33";"Frei Martinho";2949;NA;NA;2001;250620;NA;NA
"34";"Frei Martinho";2923;NA;NA;2000;250620;NA;NA
"35";"Frei Martinho";2922;NA;NA;1999;250620;NA;NA
"36";"Frei Martinho";2888;NA;NA;1998;250620;NA;NA
"37";"Gado Bravo";8450;NA;NA;2015;250625;NA;NA
"38";"Gado Bravo";8458;NA;NA;2014;250625;NA;NA
"39";"Gado Bravo";8466;918;NA;2013;250625;NA;0.108433734939759
"40";"Gado Bravo";8355;967;NA;2012;250625;NA;0.11573907839617
"41";"Gado Bravo";8365;907;NA;2011;250625;NA;0.10842797369994
"42";"Gado Bravo";8376;1086;NA;2010;250625;NA;0.129656160458453
"43";"Gado Bravo";8461;1074;NA;2009;250625;NA;0.126935350431391
"44";"Gado Bravo";8473;1301;NA;2008;250625;NA;0.153546559660097
"45";"Gado Bravo";8236;1186;NA;2007;250625;NA;0.144001942690627
"46";"Gado Bravo";8363;990;NA;2006;250625;NA;0.118378572282674
"47";"Gado Bravo";8387;1069;NA;2005;250625;NA;0.127459162990342
"48";"Ingá";18042;12808;NA;2015;250680;NA;0.709899124265603
"49";"Ingá";17978;12261;NA;2014;250680;NA;0.682000222494159
"50";"Ingá";17912;11804;NA;2013;250680;NA;0.658999553372041
"51";"Ingá";17555;11901;NA;2012;250680;NA;0.67792651666192
"52";"Ingá";18235;11634;NA;2011;250680;NA;0.638003838771593
"53";"Ingá";18180;12193;NA;2010;250680;NA;0.670682068206821
"54";"Ingá";18784;12132;NA;2009;250680;NA;0.645868824531516
"55";"Ingá";18677;15072;NA;2008;250680;NA;0.806981849333405
"56";"Ingá";18168;14799;NA;2007;250680;NA;0.814564068692206
"57";"Ingá";17129;15398;NA;2006;250680;NA;0.898943312510946
"58";"Ingá";17181;11973;NA;2005;250680;NA;0.696874454339096
"59";"Ingá";17234;9865;NA;2004;250680;NA;0.572414993617268
"60";"Ingá";17329;NA;NA;2003;250680;NA;NA
