"FID","id","nome","uf","codigo_ibg","codigo_mun","ano","populacao","agua","esgoto","taxa_esgoto","taxa_agua"
"1",0,2639,"Fagundes","PB",2506103,250610,2015,11378,6067,0,0,0.533222007382668
"2",1,2640,"Frei Martinho","PB",2506202,250620,2015,2986,2144,2984,0.999330207635633,0.718017414601474
"3",2,2641,"Gado Bravo","PB",2506251,250625,2015,8450,0,0,0,0
"4",3,2648,"Ingá","PB",2506806,250680,2015,18042,12808,0,0,0.709899124265603
"5",4,2649,"Itabaiana","PB",2506905,250690,2015,24565,18119,0,0,0.737594138001221
"6",5,2652,"Itatuba","PB",2507200,250720,2015,10739,6008,0,0,0.559456187726976
"7",6,2834,"Condado","PE",2604601,250450,2015,6733,6181,0,0,0.918015743353631
"8",7,2654,"Jericó","PB",2507408,250740,2015,7717,4129,4833,0.626279642348063,0.535052481534275
"9",8,2597,"Brejo dos Santos","PB",2502904,250290,2015,6413,5097,0,0,0.794791829097146
"10",9,2675,"Massaranduba","PB",2509206,250920,2015,13654,4230,0,0,0.309799326204775
"11",10,2678,"Mato Grosso","PB",2509370,250937,2015,2869,798,0,0,0.278145695364238
"12",11,2873,"Jataúba","PE",2608008,260800,2015,16858,2592,0,0,0.153754893818958
"13",12,2875,"João Alfredo","PE",2608107,260810,2015,32939,19835,0,0,0.60217371504903
"14",13,2693,"Parari","PB",2510659,251065,2015,1795,924,0,0,0.514763231197772
"15",14,2691,"Olivedos","PB",2510501,251050,2015,3880,2369,0,0,0.610567010309278
"16",15,2792,"Altinho","PE",2600807,260080,2015,22876,18190,0,0,0.79515649589089
"17",16,2823,"Canhotinho","PE",2603702,260370,2015,24837,14181,0,0,0.57096267665177
"18",17,2683,"Monteiro","PB",2509701,250970,2015,32774,24337,19189,0.585494599377555,0.742570330139745
"19",18,2685,"Natuba","PB",2509909,250990,2015,10450,3447,0,0,0.329856459330144
"20",19,2686,"Nazarezinho","PB",2510006,251000,2015,7318,0,0,0,0
"21",20,2590,"Boa Vista","PB",2502151,250215,2015,6884,4861,0,0,0.706130156885532
